src_name,dst_name,classification
ip_isapwm_sap__n,ip_isapwm_sap__n,DIRECT_COPY
ip_isapwm_sap_tra__n,ip_isapwm_sap_tra__n,DIRECT_COPY
ip_isapwm_tco_fac_is__tco,ip_isapwm_tco_fac_is__tco,DIRECT_COPY
ip_isapwm_tia_add__tia,ip_isapwm_tia_add__tia,DIRECT_COPY
ip_isapwm_tia_fac__tia,ip_isapwm_tia_fac__tia,DIRECT_COPY
ip_isapwm_toil_add__toil,ip_isapwm_toil_add__toil,DIRECT_COPY
ip_isapwm_vo_add__tco__vo,ip_isapwm_vo_add__tco__vo,DIRECT_COPY
ip_isapwm_vs_at__vs__n_dif,ip_isapwm_vs_at__vs__n_dif,DIRECT_COPY
ip_ivvthpwm__tmag__vb,ip_ivvthpwm__tmag__vb,DIRECT_COPY
ip_lam_cp__n__maf_cor,ip_lam_cp__n__maf_cor,DIRECT_COPY
ip_lam_dif_max_cp__n__maf,ip_lam_dif_max_cp__n__maf,DIRECT_COPY
ip_lam_neg_p__n__maf,ip_lam_neg_p__n__maf,DIRECT_COPY
ip_lam_pos_p__n__maf,ip_lam_pos_p__n__maf,DIRECT_COPY
ip_lam_tra_lgrd__maf_kgh,ip_lam_tra_lgrd__maf_kgh,DIRECT_COPY
ip_maf_1_diag__n__tps_av,ip_maf_1_diag__n__tps_av,DIRECT_COPY
ip_maf_2_diag__n,ip_maf_2_diag__n,DIRECT_COPY
ip_maf_add_tia_fac__tia,ip_maf_add_tia_fac__tia,DIRECT_COPY
ip_maf_dif_max_er__maf,ip_maf_dif_max_er__maf,DIRECT_COPY
ip_maf_dly_ad_max__n,ip_maf_dly_ad_max__n,DIRECT_COPY
ip_maf_dly_ad_min__n,ip_maf_dly_ad_min__n,DIRECT_COPY
ip_maf_ign_crlc__n__maf_mes,ip_maf_ign_crlc__n__maf_mes,DIRECT_COPY
ip_maf_int_dly_puc_max__maf_int,ip_maf_int_dly_puc_max__maf_int,DIRECT_COPY
